Eruption	Comment	SiO2	TiO2	Al2O3	FeOt	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total			
ETNA / AD 1974		50.86	1.31	4.23	8.37	0.1636	13.89	21.48	0.6266	0.0164		100.9466			
ETNA / AD 1974		48.7	1.3158	4.6	7.93	0.1697	13.51	21.38	0.504	0.0287		98.1382			
ETNA / AD 1974		51.17	1.3527	4.33	8.34	0.2061	13.67	21.31	0.6152	0		100.994			
ETNA / AD 1974		50.12	1.3652	4.4	8.17	0.2606	13.44	21.21	0.6216	0.0507		99.6381			
ETNA / AD 1974		49.77	1.2803	4.36	7.93	0.1637	13.6	22.05	0.5725	0.0371		99.7636			
ETNA / AD 1974		49.54	1.2716	4.35	7.99	0.2213	13.69	21.47	0.5075	0		99.0404			
ETNA / AD 1974		50.26	1.3285	4.16	8.06	0.188	13.86	21.62	0.5829	0.0123		100.0717			
ETNA / AD 1974		50.02	1.3503	4.37	8.37	0.2242	13.55	21.75	0.6235	0.0551		100.3131			
ETNA / AD 1974		50	1.2249	4.15	8.18	0.2183	13.47	21.58	0.5842	0.0154		99.4228			
ETNA / AD 1974		49.93	1.2666	4.23	8.17	0.2091	13.76	21.56	0.6728	0.0479		99.8464			
ETNA / AD 1974		49.69	1.2319	4.2	7.99	0.1819	13.7	21.17	0.5876	0.0708		98.8222			
ETNA / AD 1974		50.24	1.2662	4.01	8.37	0.1758	13.74	21.25	0.5138	0.0401		99.6059			
ETNA / AD 1974		50.69	1.2497	4.09	8.05	0.2123	13.62	21.44	0.5337	0		99.8857			
ETNA / AD 1974		50.47	1.271	4.05	8	0.2669	13.9	21.51	0.6409	0.0302		100.139			
ETNA / AD 1974		50.27	1.1993	3.87	7.88	0.1577	13.85	21.56	0.5857	0		99.3727			
ETNA / AD 1974		50.55	1.198	3.85	8.21	0.1698	13.76	21.39	0.5806	0		99.7084			
ETNA / AD 1974		50.26	1.2045	4.03	7.99	0.1669	14	21.44	0.6656	0.0341		99.7911			
ETNA / AD 1974		50.17	1.2082	3.89	7.95	0.2336	13.79	21.66	0.6515	0		99.5533			
ETNA / AD 1974		50.04	1.2209	3.68	8.01	0.1911	13.6	21.48	0.6227	0.0705		98.9152			
ETNA / AD 1974		49.6	1.1673	3.95	7.8	0.2428	13.93	21.72	0.6917	0		99.1018			
ETNA / AD 1974		50.66	1.0816	3.8	8.16	0.2244	13.91	21.68	0.5787	0		100.0947			
ETNA / AD 1974		49.87	1.1417	3.84	7.82	0.1699	13.75	21.08	0.6332	0.0377		98.3425			
ETNA / AD 1974		50.42	1.1647	3.79	7.91	0.2154	14.07	21.57	0.6145	0.0128		99.7674			
ETNA / AD 1974		51	1.0866	3.75	8.01	0.1638	14.12	21.36	0.6412	0.0493		100.1809			
ETNA / AD 1974		50.04	1.1096	3.62	7.92	0.1911	13.98	21.46	0.5285	0.0273		98.8765			
ETNA / AD 1974		49.81	1.0441	3.69	7.69	0.1912	14.05	21.47	0.6079	0.0142		98.5674			
ETNA / AD 1974		49.11	1.0521	3.93	7.61	0.1638	13.48	20.91	0.5984	0.0268		96.8811			
ETNA / AD 1974		50.16	1.1141	3.85	7.94	0.1245	13.71	21.6	0.589	0.0167		99.1043			
ETNA / AD 1974		50.18	1.1126	3.81	8.06	0.2427	13.57	21.55	0.6869	0		99.2122			
ETNA / AD 1974		49.85	1.1278	3.93	7.79	0.1972	13.59	21.27	0.5822	0.0056		98.3428			
ETNA / AD 1974		50.29	1.1397	3.99	8.22	0.2123	13.98	21.55	0.558	0.0237		99.9637			
ETNA / AD 1974		50.35	1.1502	3.83	7.82	0.1913	13.71	21.24	0.7027	0.0178		99.012			
ETNA / AD 1974		50.13	1.0666	3.97	8.08	0.1972	13.75	21.56	0.5246	0.0469		99.3253			
ETNA / AD 1974		50.17	1.1251	4.06	7.91	0.176	13.9	21.61	0.5198	0.0096		99.4805			
ETNA / AD 1974		49.71	1.185	3.99	8.46	0.2335	14.1	21.58	0.5271	0.0646		99.8502			
ETNA / AD 1974		50.4	1.1562	4.18	8.12	0.2396	13.98	21.36	0.6761	0.0167		100.1286			
ETNA / AD 1974		50.46	1.2398	3.88	8.18	0.2184	14.06	21.65	0.6153	0		100.3035			
ETNA / AD 1974		50.43	1.2092	4.02	8.18	0.2154	13.91	21.92	0.5516	0.0348		100.471			
ETNA / AD 1974		50.3	1.0874	3.96	8.18	0.1881	13.94	21.35	0.6212	0		99.6267			
ETNA / AD 1974		49.95	1.1134	3.95	7.71	0.2277	14	21.53	0.646	0.0512		99.1783			
ETNA / AD 1974		50.26	1.1266	3.82	7.96	0.1973	13.79	21.52	0.7068	0.0461		99.4268			
ETNA / AD 1974		50.49	1.0738	3.72	8.22	0.2518	14	21.51	0.5982	0.0136		99.8774			
ETNA / AD 1974		50.52	1.0743	3.81	7.99	0.1912	13.68	21.59	0.7528	0.0604		99.6687			
ETNA / AD 1974		50.55	1.0769	3.76	8.13	0.2246	13.93	21.41	0.6157	0.0367		99.7339			
ETNA / AD 1974		50	1.1179	3.81	8.13	0.1911	13.8	21.21	0.6011	0		98.8601			
ETNA / AD 1974		49.89	1.1626	3.77	7.96	0.1366	13.63	21.56	0.5389	0.0623		98.7104			
ETNA / AD 1974		50.52	1.1685	3.86	8.23	0.1578	13.89	21.5	0.6415	0		99.9678			
ETNA / AD 1974		50.02	1.1132	3.83	7.86	0.2701	13.78	21.55	0.6301	0		99.0534			
ETNA / AD 1974		50.43	1.1201	3.96	8.01	0.1335	13.83	21.43	0.6286	0.0224		99.5646			
ETNA / AD 1974		51.31	1.1826	3.81	8.23	0.1608	14.12	21.66	0.5832	0		101.0566			
ETNA / AD 1974		49.89	1.1358	3.63	7.91	0.2033	13.79	21.49	0.5401	0		98.5892			
ETNA / AD 1974		50.45	1.0148	3.91	8.22	0.2002	13.57	21.14	0.5704	0.0036		99.079			
ETNA / AD 1974		50.36	1.1485	3.85	7.8	0.167	13.95	21.66	0.7282	0.0593		99.723			
ETNA / AD 1974		49.43	1.135	3.77	7.96	0.3065	13.96	21.65	0.5123	0		98.7238			
ETNA / AD 1974		50.21	1.1061	3.75	8.08	0.2397	13.8	20.98	0.6901	0		98.8559			
ETNA / AD 1974		49.82	1.1542	3.71	7.9	0.1943	13.87	21.48	0.5939	0		98.7224			
ETNA / AD 1974		49.4	1.0392	3.81	7.89	0.1609	14.08	21.39	0.5537	0.008		98.3318			
ETNA / AD 1974		50.85	1.138	3.67	7.72	0.2278	14.04	21.48	0.7427	0.0268		99.8953			
ETNA / AD 1974		50.61	1.1012	3.55	8.22	0.2914	13.96	21.66	0.5743	0		99.9669			
ETNA / AD 1974		50.31	1.0739	3.59	8.05	0.1913	13.9	21.13	0.6561	0.0022		98.9035			
ETNA / AD 1974		51.08	0.996	3.41	7.84	0.1672	14.02	21.62	0.5585	0.0056		99.6973			
ETNA / AD 1974		50.6	1.0499	3.47	8.06	0.1368	14.18	21.44	0.5474	0.0118		99.4959			
ETNA / AD 1974		51.2	1.0628	3.59	8.18	0.0912	14.29	21.88	0.6066	0.028		100.9286			
ETNA / AD 1974		50.7	1.0374	3.53	7.99	0.234	13.86	21.6	0.5945	0.0434		99.5893			
ETNA / AD 1974		50.09	1.0319	3.75	7.8	0.2279	14.09	21.36	0.5624	0		98.9122			
ETNA / AD 1974		50.72	1.1219	3.38	7.96	0.1855	14.12	21.68	0.5407	0.0039		99.712			
ETNA / AD 1974		49.87	1.3419	4.44	7.46	0.1431	13.88	22.405	0.3437	0.3011		100.1848			
ETNA / AD 1974		49.02	1.3682	5.5	7.265	0.1004	13.64	22.5225	0.3411	0.2568		100.014			
ETNA / AD 1974		48.825	1.466	5.585	7.3325	0.13535	13.535	22.58625	0.34385	0.1938		100.00275			
ETNA / AD 1974		48.72	1.6136	5.93	7.12	0.1674	13.27	22.63	0.3911	0.2112		100.0533			
ETNA / AD 1974		48.63	1.5638	5.67	7.4	0.1703	13.43	22.65	0.3466	0.1219		99.9826			
ETNA / AD 1974		48.01	1.6869	6.08	7.42	0.1247	13.21	22.695	0.33365	0.091		99.65125			
ETNA / AD 1974		47.39	1.81	6.49	7.44	0.0791	12.99	22.74	0.3207	0.1488		99.4086			
ETNA / AD 1974		47.33	1.73	6.79	7.45	0.0791	12.93	22.53	0.2848	0.1598		99.2837			
ETNA / AD 1974		46.09	1.94	6.79	7.74	0.076	12.82	22.41	0.3572	0.1241		98.3473			
ETNA / AD 1974		46.27	2.06	7.19	8.09	0.1611	12.58	22.64	0.2773	0.0556		99.324			
ETNA / AD 1974		45.44	2.08	7.36	8.17	0.0243	11.93	22.66	0.3371	0.08		98.0814			
ETNA / AD 1974		45.33	2.35	7.9	8.22	0.1489	11.95	22.33	0.3963	0.1253		98.7505			
ETNA / AD 1974		44.03	2.51	8.44	8.44	0.0759	11.43	22.64	0.3465	0.1129		98.0253			
ETNA / AD 1974		45.09	2.54	8.4	8.89	0.088	11.36	22.25	0.3572	0.0128		98.988			
ETNA / AD 1974		44.82	2.57	8.37	8.38	0.1549	11.66	22.55	0.3839	0.089		98.9778			
ETNA / AD 1974		44.18	2.72	8.84	8.69	0.1124	11.32	22.73	0.3588	0.047		98.9982			
ETNA / AD 1974		44.795	2.555	8.98	8.88	0.1001	11.52	22.46	0.3828	0.0787		99.7516			
ETNA / AD 1974		44.81	2.5	8.49	8.61	0.1671	11.48	22.63	0.3918	0.1848		99.2637			
ETNA / AD 2002-2003		50.29	0.99	4.77	7.26	0.22	15.22	21.1	0.45	0		100.3			
ETNA / AD 2002-2003		50.06	1.28	4.29	6.92	0.13	15.19	21.7	0.37	0.02		99.96			
ETNA / AD 2002-2003		48.8165	1.3507	5.2913	7.5776	0.1565	13.739	21.7526	0.4001	0.0117		99.096			
ETNA / AD 2002-2003		47.4132	1.4077	6.1423	7.5038	0.1663	13.3513	22.8751	0.3008	0.0409		99.2014			
ETNA / AD 2002-2003		50.7746	1.1324	2.7148	8.3337	0.1897	14.1025	21.5979	0.3882	0.0175		99.2513			
ETNA / AD 2002-2003		48.7779	1.4844	4.6649	8.0616	0.2501	13.8575	21.4145	0.5408	0.0117		99.0634			
ETNA / AD 2002-2003		49.9296	1.1423	4.0084	7.0194	0.1284	14.7995	22.4151	0.2675	0		99.7102			
ETNA / AD 2002-2003		48.9158	1.4846	5.0027	7.7681	0.2549	13.33	22.5139	0.4849	0.0234		99.7783			
ETNA / AD 2002-2003		49.3855	1.4317	4.0342	8.5081	0.2018	13.511	21.8613	0.4851	0.0876		99.5063			
ETNA / AD 2002-2003		48.4159	1.7223	5.5081	8.1373	0.187	12.9625	22.1363	0.53	0.0876		99.687			
ETNA / AD 2002-2003		49.8388	1.0956	4.3924	6.8885	0.1401	14.3102	22.6596	0.2518	0.0412		99.6182			
ETNA / AD 2002-2003		49.0504	1.332	4.4724	7.3938	0.2624	13.4357	22.0455	0.3828	0		98.375			
ETNA / AD 2002-2003		48.9434	1.4669	5.1945	7.6973	0.1088	13.3317	21.8005	0.4115	0.076		99.0306			
ETNA / AD 2002-2003		46.8842	1.8317	6.706	7.3934	0.1674	12.7792	22.5018	0.2881	0.0176		98.5694			
ETNA / AD 2002-2003		47.8079	1.4369	5.9707	6.6155	0.0959	13.7237	23.0275	0.2777	0.3461		99.3019			
ETNA / AD 2002-2003		48.5376	1.4091	5.6056	6.9792	0.0075	13.0005	22.1011	0.3945	0.3815		98.4166			
ETNA / AD 2002-2003		46.4384	1.7053	6.5422	7.0642	0.1305	13.0522	22.5927	0.3385	0.1819		98.0459			
ETNA / AD 2002-2003		49.962	1.385	3.68	8.8283	0.2117	14.1005	21.5911	0.2216	0		99.9802			
ETNA / AD 2002-2003		48.7626	1.3401	4.871	8.174	0.1794	13.3989	21.8905	0.2394	0		98.8559			
ETNA / AD 2002-2003		49.1064	1.2571	5.1683	7.8741	0.1303	13.7092	21.6757	0.5102	0.0292		99.4605			
ETNA / AD 2002-2003		50.9529	1.0854	3.5591	7.0122	0.31	14.5034	22.2639	0.4666	0		100.1535			
ETNA / AD 2002-2003		43.1124	2.546	7.6809	8.8648	0.064	7.1802	21.6972	0.1794	0.0583		91.3832			
ETNA / AD 2002-2003		49.636	1.0934	3.5511	7.072	0.2287	14.4972	22.3988	0.3788	0.0117		98.8677			
ETNA / AD 2002-2003	NE RIFT	48.135	1.9	7.17	8.055	0.435	12.285	21.125	0.3			99.405			
ETNA / AD 2002-2003	NE RIFT	46.77	1.65	7.42	7.875	0.45	12.325	22.165	0.3655			99.0205			
ETNA / AD 2002-2003	NE RIFT	47.72	2.075	7.45	9.265	0.34	11.775	20.19	0.445			99.26			
ETNA / AD 2002-2003	NE RIFT	48.11	1.89	7.07	8.01	0.46	12.485	20.8	0.295			99.12			
ETNA / AD 2002-2003	NE RIFT	49.25	1.8	7.25	7.94	0.43	10.74	20.86	0.358			98.628			
ETNA / AD 2002-2003	NE RIFT	47.035	1.955	8.46	9.115	0.605	11.34	20.505	0.445			99.46			
ETNA / AD 2002-2003	NE RIFT	47.795	1.57	7.26	8.655	0.35	11.255	21.71	0.3765			98.9715			
ETNA / AD 2002-2003	NE RIFT	48.41	1.09	7.67	9.69	0	10.67	20.25	0.398			98.178			
ETNA / AD 2002-2003	NE RIFT	47.445	1.55	8.22	9.42	0.35	10.685	20.25	0.392			98.312			
ETNA / AD 2002-2003	NE RIFT	48.945	1.715	7.05	7.77	0.215	11.195	21.625	0.454			98.969			
ETNA / AD 2002-2003	NE RIFT	48.395	1.945	7.315	8.285	0.215	11.24	20.965	0.3595			98.7195			
ETNA / AD 2002-2003	NE RIFT	48.395	1.945	7.315	8.285	0.215	11.24	20.965	0.3595			98.7195			
ETNA / AD 2002-2003	NE RIFT	46.34	2.36	7.88	9.665	0.2	11.345	21.005	0.363			99.158			
ETNA / AD 2002-2003	NE RIFT	48.395	1.945	7.315	8.285	0.215	11.24	20.965	0.3595			98.7195			
ETNA / AD 2002-2003	NE RIFT	48.11	1.89	7.07	8.01	0.46	12.485	20.8	0.295			99.12			
ETNA / AD 2002-2003	NE RIFT	48.355	1.16	7.165	7.01	0	13.16	22.135	0.34			99.325			
ETNA / AD 2002-2003	NE RIFT	48.915	1.18	6.795	7.65	0.32	12.545	21.525	0.35			99.28			
ETNA / AD 2002-2003	NE RIFT	48.075	1.135	7.7	6.015	0.215	12.935	22.95	0.28			99.305			
ETNA / AD 2002-2003	NE RIFT	47.47	1.265	8.245	6.52	0.335	12.5	22.725	0.16			99.22			
ETNA / AD 2002-2003	NE RIFT	48.14	1.03	7.37	6.48	0.45	12.74	22.94	0.17			99.32			
ETNA / AD 2002-2003	NE RIFT	48.235	1.38	7.315	5.82	0.34	12.83	23.19	0.275			99.385			
ETNA / AD 2002-2003	NE RIFT	47.69	1.695	8.275	5.715	0.28	12.525	22.94	0.355			99.475			
ETNA / AD 2002-2003	NE RIFT	47.725	1.495	8.19	6.825	0.315	11.74	22.65	0.43			99.37			
ETNA / AD 2002-2003	NE RIFT	48.39	1.3	7.215	6.64	0.395	11.72	23.27	0.415			99.345			
ETNA / AD 2002-2003	NE RIFT	48.69	1.23	6.655	6.055	0.46	12.795	23.135	0.325			99.345			
ETNA / AD 2002-2003	NE RIFT	48.825	1.1	6.285	6.36	0.365	13.19	22.805	0.365			99.295			
ETNA / AD 2002-2003	NE RIFT	47.525	1.15	7.885	6.56	0.245	12.36	23.545	0.21			99.48			
ETNA / AD 2002-2003	NE RIFT	47.7125	1.5275	7.685	6.4275	0.245	12.2075	23.2775	0.2675			99.35			
ETNA / AD 2002-2003	NE RIFT	48.0325	1.11	8.2525	5.94	0.4875	12.4575	22.6725	0.28			99.2325			
