Eruption	Comment	SiO2	TiO2	Al2O3	FeOt	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total			
ETNA / AD 2002-2003	S FLANK	48.1734	1.3786	5.0066	7.7185	0.1454	13.6035	21.5076	0.4743	0.0187		98.0266			
ETNA / AD 2002-2003	S FLANK	48.3089	1.5141	5.0265	7.5988	0.1543	13.5206	21.7933	0.5183	0.0164		98.4512			
ETNA / AD 2002-2003	S FLANK	49.4884	1.4067	5.0094	7.6402	0.1702	13.2736	21.7744	0.4803	0.0281		99.2713			
ETNA / AD 2002-2003	S FLANK	50.3697	1.2705	3.3305	6.773	0.1972	14.4773	22.4048	0.3515	0.0329		99.2074			
ETNA / AD 2002-2003	S FLANK	46.9148	1.4044	5.736	7.2322	0.1341	13.7806	22.3931	0.3193	0.0234		97.9379			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 01	49.51	1.2646	3.92	7.98	0.1966	13.41	22.06	0.4311	0	0.0187	98.7911			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 02	49.7	1.3107	3.74	7.82	0.2151	13.51	22.06	0.3921	0	0	98.748			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 03	49.83	1.3759	4.73	7.97	0.2006	12.88	21.84	0.5671	0	0.02	99.4137			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 04	49.48	1.3518	3.65	7.89	0.1734	13.58	22.15	0.4031	0.0375	0.0393	98.7551			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 05	49.11	1.194	4.16	7.21	0.179	13.81	22.47	0.3832	0.0163	0	98.5325			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 06	49.65	1.0747	3.98	6.66	0.1437	14.18	22.71	0.3	0	0	98.6985			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 07	49.49	1.1462	4.21	6.87	0.1468	14.01	22.7	0.3279	0.0034	0.0037	98.9081			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 08	48.72	1.2592	5.03	6.97	0.1273	13.56	22.86	0.3481	0.0385	0.0063	98.9195			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 09	49.07	1.1072	4.38	6.76	0.1236	13.93	22.88	0.2686	0.0643	0	98.5838			
ETNA / 16 feb 2021	ETN21M - cpx1 - line-point 10	49.78	1.2636	3.58	7.94	0.2278	13.42	22.02	0.465	0.0232	0.016	98.7356			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 01	47.47	1.86	6.04	8.34	0.1564	12.49	22.11	0.4541	0.0228	0	98.9434			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 02	46.91	2.02	6.59	8.47	0.1477	12.2	22.28	0.4206	0.0165	0	99.0549			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 03	45.45	2.57	7.19	8.96	0.1838	11.47	21.62	0.518	0	0.0096	97.9715			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 04	47.17	1.96	6.26	8.52	0.1887	12.26	21.87	0.5317	0.0103	0.001	98.7718			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 05	46	2.08	7.55	8.13	0.1332	12	22.51	0.3682	0.0033	0.018	98.7928			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 06	46.59	1.86	6.94	7.8	0.123	12.57	22.7	0.3713	0.0015	0.035	98.9909			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 07	46.27	1.97	7.09	7.8	0.1672	12.24	22.74	0.3383	0	0.018	98.6336			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 08	46.59	1.87	6.92	7.79	0.1129	12.31	22.8	0.4156	0	0	98.8085			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 09	48.06	1.4413	5.59	7.18	0.1724	13.15	22.79	0.3591	0.0128	0.0183	98.774			
ETNA / 16 feb 2021	ETN21M - cpx2 - line-point 10	50.17	1.0638	4.13	6.99	0.1346	14.12	22.66	0.2976	0.0126	0.0054	99.5841			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 01	46.61	2.08	6.8	8.39	0.1461	12.25	22.15	0.4517	0.0401	0	98.918			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 02	48.64	1.69	5.37	8.39	0.1723	12.72	22.17	0.4781	0	0	99.6305			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 03	48.54	1.69	5.43	8.4	0.1622	12.72	22.18	0.4838	0	0.0167	99.6228			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 04	48.67	1.68	5.42	8.31	0.156	12.67	22.28	0.4851	0	0.0171	99.6882			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 05	48.29	1.82	5.77	8.52	0.1715	12.42	22.11	0.4922	0.0138	0	99.6076			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 06	51.34	0.9827	3.4	7.22	0.2141	14.54	22.08	0.369	0	0.0068	100.1525			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 07	51.95	0.7926	2.81	7.23	0.2384	14.81	21.99	0.2972	0	0.006	100.1241			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 08	51.49	0.8786	3.07	7.13	0.2359	14.58	22.09	0.3557	0.0011	0	99.8314			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 09	51.18	0.8646	3.07	7.15	0.2183	14.66	22.12	0.3992	0	0	99.6622			
ETNA / 16 feb 2021	ETN21M - cpx3 - line-point 10	51.03	0.8917	3.09	7.03	0.1842	14.66	22.15	0.3289	0	0	99.3648			
ETNA / 16 feb 2021	ETN21M - cpx4 - line-point 01	49.74	1.1949	4.44	7.29	0.1621	13.97	22.54	0.3048	0.0326	0	99.6745			
ETNA / 16 feb 2021	ETN21M - cpx4 - line-point 02	50.63	1.0186	3.87	7.06	0.1491	14.39	22.39	0.2613	0.0709	0	99.84			
ETNA / 16 feb 2021	ETN21M - cpx4 - line-point 03	50.69	1.0217	3.9	7.04	0.1259	14.34	22.54	0.2778	0.0535	0	99.989			
ETNA / 16 feb 2021	ETN21M - cpx4 - line-point 04	50.61	1.0228	3.85	7.01	0.1796	14.46	22.58	0.2633	0.0603	0.0338	100.0697			
ETNA / 16 feb 2021	ETN21M - cpx4 - line-point 05	50.57	0.9951	3.85	6.97	0.1343	14.44	22.54	0.2864	0.051	0.0168	99.8537			
